WallU,RoofU,RoofAbp,WinU,WinSHGC,LPD,COP,c0: Heating,c1: Cooling,c2: Interior Lighting,c4: Fans
0.2,0.2,0.3,1.5,0.05,3,2.5,14.76,35098.69,46648.05,704.31
0.2,0.2,0.3,1.5,0.05,3,4,9.22,21936.68,46648.05,704.31
0.2,0.2,0.3,1.5,0.05,3,5.5,6.71,15953.95,46648.05,704.31
0.2,0.2,0.3,1.5,0.05,7,2.5,7.34,48064.44,108845.46,986.05
0.2,0.2,0.3,1.5,0.05,7,4,4.59,30040.27,108845.46,986.05
0.2,0.2,0.3,1.5,0.05,7,5.5,3.34,21847.47,108845.46,986.05
0.2,0.2,0.3,1.5,0.05,11,2.5,4.03,61511.56,171042.86,1271.27
0.2,0.2,0.3,1.5,0.05,11,4,2.52,38444.72,171042.86,1271.27
0.2,0.2,0.3,1.5,0.05,11,5.5,1.83,27959.8,171042.86,1271.27
0.2,0.2,0.3,1.5,0.05,15,2.5,2.57,75229.45,233240.27,1555.75
0.2,0.2,0.3,1.5,0.05,15,4,1.6,47018.4,233240.27,1555.75
0.2,0.2,0.3,1.5,0.05,15,5.5,1.17,34195.2,233240.27,1555.75
0.2,0.2,0.3,1.5,0.2,3,2.5,0.7,53510.43,46648.05,1093.87
0.2,0.2,0.3,1.5,0.2,3,4,0.43,33444.02,46648.05,1093.87
0.2,0.2,0.3,1.5,0.2,3,5.5,0.32,24322.92,46648.05,1093.87
0.2,0.2,0.3,1.5,0.2,7,2.5,0.33,66967.24,108845.46,1373.99
0.2,0.2,0.3,1.5,0.2,7,4,0.21,41854.53,108845.46,1373.99
0.2,0.2,0.3,1.5,0.2,7,5.5,0.15,30439.66,108845.46,1373.99
0.2,0.2,0.3,1.5,0.2,11,2.5,0.17,80660.69,171042.86,1654.45
0.2,0.2,0.3,1.5,0.2,11,4,0.11,50412.93,171042.86,1654.45
0.2,0.2,0.3,1.5,0.2,11,5.5,0.08,36663.95,171042.86,1654.45
0.2,0.2,0.3,1.5,0.2,15,2.5,0.11,94457.59,233240.27,1934.34
0.2,0.2,0.3,1.5,0.2,15,4,0.07,59035.99,233240.27,1934.34
0.2,0.2,0.3,1.5,0.2,15,5.5,0.05,42935.27,233240.27,1934.34
0.2,0.2,0.3,1.5,0.35,3,2.5,0.07,72024.53,46648.05,1487.83
0.2,0.2,0.3,1.5,0.35,3,4,0.04,45015.33,46648.05,1487.83
0.2,0.2,0.3,1.5,0.35,3,5.5,0.03,32738.42,46648.05,1487.83
0.2,0.2,0.3,1.5,0.35,7,2.5,0.03,85583.05,108845.46,1770.38
0.2,0.2,0.3,1.5,0.35,7,4,0.02,53489.41,108845.46,1770.38
0.2,0.2,0.3,1.5,0.35,7,5.5,0.01,38901.39,108845.46,1770.38
0.2,0.2,0.3,1.5,0.35,11,2.5,0,99315.81,171042.86,2053.33
0.2,0.2,0.3,1.5,0.35,11,4,0,62072.38,171042.86,2053.33
0.2,0.2,0.3,1.5,0.35,11,5.5,0,45143.55,171042.86,2053.33
0.2,0.2,0.3,1.5,0.35,15,2.5,0,113067.46,233240.27,2336.24
0.2,0.2,0.3,1.5,0.35,15,4,0,70667.16,233240.27,2336.24
0.2,0.2,0.3,1.5,0.35,15,5.5,0,51394.3,233240.27,2336.24
0.2,0.2,0.3,1.5,0.5,3,2.5,0,88047.16,46648.05,1838.47
0.2,0.2,0.3,1.5,0.5,3,4,0,55029.48,46648.05,1838.47
0.2,0.2,0.3,1.5,0.5,3,5.5,0,40021.44,46648.05,1838.47
0.2,0.2,0.3,1.5,0.5,7,2.5,0,101641.32,108845.46,2122.65
0.2,0.2,0.3,1.5,0.5,7,4,0,63525.82,108845.46,2122.65
0.2,0.2,0.3,1.5,0.5,7,5.5,0,46200.6,108845.46,2122.65
0.2,0.2,0.3,1.5,0.5,11,2.5,0,115409.42,171042.86,2408.54
0.2,0.2,0.3,1.5,0.5,11,4,0,72130.89,171042.86,2408.54
0.2,0.2,0.3,1.5,0.5,11,5.5,0,52458.83,171042.86,2408.54
0.2,0.2,0.3,1.5,0.5,15,2.5,0,129077.24,233240.27,2694.05
0.2,0.2,0.3,1.5,0.5,15,4,0,80673.27,233240.27,2694.05
0.2,0.2,0.3,1.5,0.5,15,5.5,0,58671.47,233240.27,2694.05
0.2,0.2,0.3,1.5,0.65,3,2.5,0,112487.55,46648.05,2365.46
0.2,0.2,0.3,1.5,0.65,3,4,0,70304.72,46648.05,2365.46
0.2,0.2,0.3,1.5,0.65,3,5.5,0,51130.7,46648.05,2365.46
0.2,0.2,0.3,1.5,0.65,7,2.5,0,126157.4,108845.46,2652.75
0.2,0.2,0.3,1.5,0.65,7,4,0,78848.38,108845.46,2652.75
0.2,0.2,0.3,1.5,0.65,7,5.5,0,57344.27,108845.46,2652.75
0.2,0.2,0.3,1.5,0.65,11,2.5,0,139965.88,171042.86,2944.16
0.2,0.2,0.3,1.5,0.65,11,4,0,87478.67,171042.86,2944.16
0.2,0.2,0.3,1.5,0.65,11,5.5,0,63620.85,171042.86,2944.16
0.2,0.2,0.3,1.5,0.65,15,2.5,0,153527.84,233240.27,3233.7
0.2,0.2,0.3,1.5,0.65,15,4,0,95954.9,233240.27,3233.7
0.2,0.2,0.3,1.5,0.65,15,5.5,0,69785.38,233240.27,3233.7
0.2,0.2,0.3,1.5,0.8,3,2.5,0,140981.26,46648.05,3005.63
0.2,0.2,0.3,1.5,0.8,3,4,0,88113.29,46648.05,3005.63
0.2,0.2,0.3,1.5,0.8,3,5.5,0,64082.39,46648.05,3005.63
0.2,0.2,0.3,1.5,0.8,7,2.5,0,154737.7,108845.46,3300.16
0.2,0.2,0.3,1.5,0.8,7,4,0,96711.06,108845.46,3300.16
0.2,0.2,0.3,1.5,0.8,7,5.5,0,70335.32,108845.46,3300.16
0.2,0.2,0.3,1.5,0.8,11,2.5,0,168640.13,171042.86,3598.96
0.2,0.2,0.3,1.5,0.8,11,4,0,105400.08,171042.86,3598.96
0.2,0.2,0.3,1.5,0.8,11,5.5,0,76654.61,171042.86,3598.96
0.2,0.2,0.3,1.5,0.8,15,2.5,0,182133.26,233240.27,3893.2
0.2,0.2,0.3,1.5,0.8,15,4,0,113833.29,233240.27,3893.2
0.2,0.2,0.3,1.5,0.8,15,5.5,0,82787.85,233240.27,3893.2
0.2,0.2,0.3,2.5,0.05,3,2.5,38.67,34551.05,46648.05,719.12
0.2,0.2,0.3,2.5,0.05,3,4,24.17,21594.41,46648.05,719.12
0.2,0.2,0.3,2.5,0.05,3,5.5,17.58,15705.02,46648.05,719.12
0.2,0.2,0.3,2.5,0.05,7,2.5,20.04,46990.57,108845.46,997.3
0.2,0.2,0.3,2.5,0.05,7,4,12.53,29369.11,108845.46,997.3
0.2,0.2,0.3,2.5,0.05,7,5.5,9.11,21359.35,108845.46,997.3
0.2,0.2,0.3,2.5,0.05,11,2.5,11.61,59871.22,171042.86,1278.34
0.2,0.2,0.3,2.5,0.05,11,4,7.26,37419.51,171042.86,1278.34
0.2,0.2,0.3,2.5,0.05,11,5.5,5.28,27214.19,171042.86,1278.34
0.2,0.2,0.3,2.5,0.05,15,2.5,7.7,73071.32,233240.27,1558.26
0.2,0.2,0.3,2.5,0.05,15,4,4.81,45669.57,233240.27,1558.26
0.2,0.2,0.3,2.5,0.05,15,5.5,3.5,33214.24,233240.27,1558.26
0.2,0.2,0.3,2.5,0.2,3,2.5,4.42,51996.85,46648.05,1105.89
0.2,0.2,0.3,2.5,0.2,3,4,2.76,32498.03,46648.05,1105.89
0.2,0.2,0.3,2.5,0.2,3,5.5,2.01,23634.93,46648.05,1105.89
0.2,0.2,0.3,2.5,0.2,7,2.5,2,64923.95,108845.46,1382.4
0.2,0.2,0.3,2.5,0.2,7,4,1.25,40577.47,108845.46,1382.4
0.2,0.2,0.3,2.5,0.2,7,5.5,0.91,29510.89,108845.46,1382.4
0.2,0.2,0.3,2.5,0.2,11,2.5,1.17,78157.04,171042.86,1659.88
0.2,0.2,0.3,2.5,0.2,11,4,0.73,48848.15,171042.86,1659.88
0.2,0.2,0.3,2.5,0.2,11,5.5,0.53,35525.93,171042.86,1659.88
0.2,0.2,0.3,2.5,0.2,15,2.5,0.73,91519.53,233240.27,1936.24
0.2,0.2,0.3,2.5,0.2,15,4,0.46,57199.71,233240.27,1936.24
0.2,0.2,0.3,2.5,0.2,15,5.5,0.33,41599.79,233240.27,1936.24
0.2,0.2,0.3,2.5,0.35,3,2.5,1.35,65863.08,46648.05,1407.52
0.2,0.2,0.3,2.5,0.35,3,4,0.84,41164.43,46648.05,1407.52
0.2,0.2,0.3,2.5,0.35,3,5.5,0.61,29937.76,46648.05,1407.52
0.2,0.2,0.3,2.5,0.35,7,2.5,0.6,78975.35,108845.46,1685.44
0.2,0.2,0.3,2.5,0.35,7,4,0.37,49359.59,108845.46,1685.44
0.2,0.2,0.3,2.5,0.35,7,5.5,0.27,35897.89,108845.46,1685.44
0.2,0.2,0.3,2.5,0.35,11,2.5,0.31,92337.12,171042.86,1964.14
0.2,0.2,0.3,2.5,0.35,11,4,0.19,57710.7,171042.86,1964.14
0.2,0.2,0.3,2.5,0.35,11,5.5,0.14,41971.42,171042.86,1964.14
0.2,0.2,0.3,2.5,0.35,15,2.5,0.22,105732.25,233240.27,2242.67
0.2,0.2,0.3,2.5,0.35,15,4,0.14,66082.66,233240.27,2242.67
0.2,0.2,0.3,2.5,0.35,15,5.5,0.1,48060.11,233240.27,2242.67
0.2,0.2,0.3,2.5,0.5,3,2.5,0.21,87268.46,46648.05,1872.37
0.2,0.2,0.3,2.5,0.5,3,4,0.13,54542.79,46648.05,1872.37
0.2,0.2,0.3,2.5,0.5,3,5.5,0.1,39667.48,46648.05,1872.37
0.2,0.2,0.3,2.5,0.5,7,2.5,0.07,100558.08,108845.46,2152.87
0.2,0.2,0.3,2.5,0.5,7,4,0.04,62848.8,108845.46,2152.87
0.2,0.2,0.3,2.5,0.5,7,5.5,0.03,45708.22,108845.46,2152.87
0.2,0.2,0.3,2.5,0.5,11,2.5,0.05,114060.51,171042.86,2436.05
0.2,0.2,0.3,2.5,0.5,11,4,0.03,71287.82,171042.86,2436.05
0.2,0.2,0.3,2.5,0.5,11,5.5,0.02,51845.68,171042.86,2436.05
0.2,0.2,0.3,2.5,0.5,15,2.5,0.02,127437.31,233240.27,2718.03
0.2,0.2,0.3,2.5,0.5,15,4,0.01,79648.32,233240.27,2718.03
0.2,0.2,0.3,2.5,0.5,15,5.5,0.01,57926.05,233240.27,2718.03
0.2,0.2,0.3,2.5,0.65,3,2.5,0,108766.5,46648.05,2339.74
0.2,0.2,0.3,2.5,0.65,3,4,0,67979.06,46648.05,2339.74
0.2,0.2,0.3,2.5,0.65,3,5.5,0,49439.32,46648.05,2339.74
0.2,0.2,0.3,2.5,0.65,7,2.5,0,122184.9,108845.46,2623.85
0.2,0.2,0.3,2.5,0.65,7,4,0,76365.56,108845.46,2623.85
0.2,0.2,0.3,2.5,0.65,7,5.5,0,55538.59,108845.46,2623.85
0.2,0.2,0.3,2.5,0.65,11,2.5,0,135717.56,171042.86,2910.75
0.2,0.2,0.3,2.5,0.65,11,4,0,84823.48,171042.86,2910.75
0.2,0.2,0.3,2.5,0.65,11,5.5,0,61689.8,171042.86,2910.75
0.2,0.2,0.3,2.5,0.65,15,2.5,0,149032.42,233240.27,3195.46
0.2,0.2,0.3,2.5,0.65,15,4,0,93145.27,233240.27,3195.46
0.2,0.2,0.3,2.5,0.65,15,5.5,0,67742.01,233240.27,3195.46
0.2,0.2,0.3,2.5,0.8,3,2.5,0,136570.61,46648.05,2959.7
0.2,0.2,0.3,2.5,0.8,3,4,0,85356.63,46648.05,2959.7
0.2,0.2,0.3,2.5,0.8,3,5.5,0,62077.55,46648.05,2959.7
0.2,0.2,0.3,2.5,0.8,7,2.5,0,150093.18,108845.46,3249.66
0.2,0.2,0.3,2.5,0.8,7,4,0,93808.24,108845.46,3249.66
0.2,0.2,0.3,2.5,0.8,7,5.5,0,68224.17,108845.46,3249.66
0.2,0.2,0.3,2.5,0.8,11,2.5,0,163740.34,171042.86,3542.76
0.2,0.2,0.3,2.5,0.8,11,4,0,102337.71,171042.86,3542.76
0.2,0.2,0.3,2.5,0.8,11,5.5,0,74427.43,171042.86,3542.76
0.2,0.2,0.3,2.5,0.8,15,2.5,0,177004.48,233240.27,3831.03
0.2,0.2,0.3,2.5,0.8,15,4,0,110627.8,233240.27,3831.03
0.2,0.2,0.3,2.5,0.8,15,5.5,0,80456.58,233240.27,3831.03
0.2,0.2,0.3,3.5,0.05,3,2.5,71.76,34441.95,46648.05,736.28
0.2,0.2,0.3,3.5,0.05,3,4,44.85,21526.22,46648.05,736.28
0.2,0.2,0.3,3.5,0.05,3,5.5,32.62,15655.43,46648.05,736.28
0.2,0.2,0.3,3.5,0.05,7,2.5,40.58,46605.85,108845.46,1011.04
0.2,0.2,0.3,3.5,0.05,7,4,25.36,29128.65,108845.46,1011.04
0.2,0.2,0.3,3.5,0.05,7,5.5,18.44,21184.48,108845.46,1011.04
0.2,0.2,0.3,3.5,0.05,11,2.5,25.71,59079.3,171042.86,1287.31
0.2,0.2,0.3,3.5,0.05,11,4,16.07,36924.56,171042.86,1287.31
0.2,0.2,0.3,3.5,0.05,11,5.5,11.69,26854.23,171042.86,1287.31
0.2,0.2,0.3,3.5,0.05,15,2.5,16.58,71899.24,233240.27,1563.28
0.2,0.2,0.3,3.5,0.05,15,4,10.36,44937.02,233240.27,1563.28
0.2,0.2,0.3,3.5,0.05,15,5.5,7.54,32681.47,233240.27,1563.28
0.2,0.2,0.3,3.5,0.2,3,2.5,11.28,51559.92,46648.05,1126.38
0.2,0.2,0.3,3.5,0.2,3,4,7.05,32224.95,46648.05,1126.38
0.2,0.2,0.3,3.5,0.2,3,5.5,5.13,23436.33,46648.05,1126.38
0.2,0.2,0.3,3.5,0.2,7,2.5,6.31,64120.35,108845.46,1400.39
0.2,0.2,0.3,3.5,0.2,7,4,3.95,40075.22,108845.46,1400.39
0.2,0.2,0.3,3.5,0.2,7,5.5,2.87,29145.61,108845.46,1400.39
0.2,0.2,0.3,3.5,0.2,11,2.5,3.67,76980,171042.86,1675.1
0.2,0.2,0.3,3.5,0.2,11,4,2.29,48112.5,171042.86,1675.1
0.2,0.2,0.3,3.5,0.2,11,5.5,1.67,34990.91,171042.86,1675.1
0.2,0.2,0.3,3.5,0.2,15,2.5,2.2,90029.15,233240.27,1950.34
0.2,0.2,0.3,3.5,0.2,15,4,1.37,56268.22,233240.27,1950.34
0.2,0.2,0.3,3.5,0.2,15,5.5,1,40922.34,233240.27,1950.34
0.2,0.2,0.3,3.5,0.35,3,2.5,4.9,65037.06,46648.05,1424.97
0.2,0.2,0.3,3.5,0.35,3,4,3.06,40648.16,46648.05,1424.97
0.2,0.2,0.3,3.5,0.35,3,5.5,2.23,29562.3,46648.05,1424.97
0.2,0.2,0.3,3.5,0.35,7,2.5,2.47,77811.42,108845.46,1700.23
0.2,0.2,0.3,3.5,0.35,7,4,1.55,48632.14,108845.46,1700.23
0.2,0.2,0.3,3.5,0.35,7,5.5,1.12,35368.83,108845.46,1700.23
0.2,0.2,0.3,3.5,0.35,11,2.5,1.32,90882,171042.86,1977.33
0.2,0.2,0.3,3.5,0.35,11,4,0.82,56801.25,171042.86,1977.33
0.2,0.2,0.3,3.5,0.35,11,5.5,0.6,41310,171042.86,1977.33
0.2,0.2,0.3,3.5,0.35,15,2.5,0.81,103978.86,233240.27,2253.75
0.2,0.2,0.3,3.5,0.35,15,4,0.51,64986.78,233240.27,2253.75
0.2,0.2,0.3,3.5,0.35,15,5.5,0.37,47263.12,233240.27,2253.75
0.2,0.2,0.3,3.5,0.5,3,2.5,1.59,85875.68,46648.05,1881.2
0.2,0.2,0.3,3.5,0.5,3,4,1,53672.3,46648.05,1881.2
0.2,0.2,0.3,3.5,0.5,3,5.5,0.72,39034.4,46648.05,1881.2
0.2,0.2,0.3,3.5,0.5,7,2.5,0.75,98919.7,108845.46,2160.11
0.2,0.2,0.3,3.5,0.5,7,4,0.47,61824.81,108845.46,2160.11
0.2,0.2,0.3,3.5,0.5,7,5.5,0.34,44963.5,108845.46,2160.11
0.2,0.2,0.3,3.5,0.5,11,2.5,0.36,112187.22,171042.86,2441.11
0.2,0.2,0.3,3.5,0.5,11,4,0.23,70117.01,171042.86,2441.11
0.2,0.2,0.3,3.5,0.5,11,5.5,0.16,50994.19,171042.86,2441.11
0.2,0.2,0.3,3.5,0.5,15,2.5,0.18,125335.74,233240.27,2720.31
0.2,0.2,0.3,3.5,0.5,15,4,0.11,78334.84,233240.27,2720.31
0.2,0.2,0.3,3.5,0.5,15,5.5,0.08,56970.79,233240.27,2720.31
0.2,0.2,0.3,3.5,0.65,3,2.5,0.47,106759.96,46648.05,2338.71
0.2,0.2,0.3,3.5,0.65,3,4,0.29,66724.97,46648.05,2338.71
0.2,0.2,0.3,3.5,0.65,3,5.5,0.21,48527.25,46648.05,2338.71
0.2,0.2,0.3,3.5,0.65,7,2.5,0.17,119943.97,108845.46,2620.69
0.2,0.2,0.3,3.5,0.65,7,4,0.11,74964.98,108845.46,2620.69
0.2,0.2,0.3,3.5,0.65,7,5.5,0.08,54519.99,108845.46,2620.69
0.2,0.2,0.3,3.5,0.65,11,2.5,0.07,133285.86,171042.86,2904.94
0.2,0.2,0.3,3.5,0.65,11,4,0.04,83303.66,171042.86,2904.94
0.2,0.2,0.3,3.5,0.65,11,5.5,0.03,60584.48,171042.86,2904.94
0.2,0.2,0.3,3.5,0.65,15,2.5,0.04,146390.95,233240.27,3186.18
0.2,0.2,0.3,3.5,0.65,15,4,0.02,91494.34,233240.27,3186.18
0.2,0.2,0.3,3.5,0.65,15,5.5,0.02,66541.34,233240.27,3186.18
0.2,0.2,0.3,3.5,0.8,3,2.5,0.06,133626.2,46648.05,2936.52
0.2,0.2,0.3,3.5,0.8,3,4,0.03,83516.38,46648.05,2936.52
0.2,0.2,0.3,3.5,0.8,3,5.5,0.03,60739.18,46648.05,2936.52
0.2,0.2,0.3,3.5,0.8,7,2.5,0,146946.59,108845.46,3223.5
0.2,0.2,0.3,3.5,0.8,7,4,0,91841.62,108845.46,3223.5
0.2,0.2,0.3,3.5,0.8,7,5.5,0,66793.9,108845.46,3223.5
0.2,0.2,0.3,3.5,0.8,11,2.5,0,160356.93,171042.86,3512.6
0.2,0.2,0.3,3.5,0.8,11,4,0,100223.08,171042.86,3512.6
0.2,0.2,0.3,3.5,0.8,11,5.5,0,72889.51,171042.86,3512.6
0.2,0.2,0.3,3.5,0.8,15,2.5,0,173433.84,233240.27,3796.84
0.2,0.2,0.3,3.5,0.8,15,4,0,108396.15,233240.27,3796.84
0.2,0.2,0.3,3.5,0.8,15,5.5,0,78833.56,233240.27,3796.84
0.2,0.2,0.3,4.5,0.05,3,2.5,100.56,34875.13,46648.05,760.98
0.2,0.2,0.3,4.5,0.05,3,4,62.85,21796.95,46648.05,760.98
0.2,0.2,0.3,4.5,0.05,3,5.5,45.71,15852.33,46648.05,760.98
0.2,0.2,0.3,4.5,0.05,7,2.5,60.36,46884.94,108845.46,1033.28
0.2,0.2,0.3,4.5,0.05,7,4,37.73,29303.09,108845.46,1033.28
0.2,0.2,0.3,4.5,0.05,7,5.5,27.44,21311.34,108845.46,1033.28
0.2,0.2,0.3,4.5,0.05,11,2.5,40.25,59150.03,171042.86,1306.85
0.2,0.2,0.3,4.5,0.05,11,4,25.16,36968.77,171042.86,1306.85
0.2,0.2,0.3,4.5,0.05,11,5.5,18.3,26886.38,171042.86,1306.85
0.2,0.2,0.3,4.5,0.05,15,2.5,28.59,71660.15,233240.27,1579.52
0.2,0.2,0.3,4.5,0.05,15,4,17.87,44787.59,233240.27,1579.52
0.2,0.2,0.3,4.5,0.05,15,5.5,12.99,32572.79,233240.27,1579.52
0.2,0.2,0.3,4.5,0.2,3,2.5,16.91,53933.71,46648.05,1202.09
0.2,0.2,0.3,4.5,0.2,3,4,10.57,33708.57,46648.05,1202.09
0.2,0.2,0.3,4.5,0.2,3,5.5,7.69,24515.32,46648.05,1202.09
0.2,0.2,0.3,4.5,0.2,7,2.5,10.07,66323.07,108845.46,1474.68
0.2,0.2,0.3,4.5,0.2,7,4,6.29,41451.92,108845.46,1474.68
0.2,0.2,0.3,4.5,0.2,7,5.5,4.58,30146.85,108845.46,1474.68
0.2,0.2,0.3,4.5,0.2,11,2.5,6.28,78970.82,171042.86,1748.32
0.2,0.2,0.3,4.5,0.2,11,4,3.92,49356.77,171042.86,1748.32
0.2,0.2,0.3,4.5,0.2,11,5.5,2.85,35895.83,171042.86,1748.32
0.2,0.2,0.3,4.5,0.2,15,2.5,4.02,91756.47,233240.27,2022.7
0.2,0.2,0.3,4.5,0.2,15,4,2.51,57347.8,233240.27,2022.7
0.2,0.2,0.3,4.5,0.2,15,5.5,1.83,41707.49,233240.27,2022.7
0.2,0.2,0.3,4.5,0.35,3,2.5,5.86,74118.93,46648.05,1651.7
0.2,0.2,0.3,4.5,0.35,3,4,3.66,46324.33,46648.05,1651.7
0.2,0.2,0.3,4.5,0.35,3,5.5,2.66,33690.42,46648.05,1651.7
0.2,0.2,0.3,4.5,0.35,7,2.5,3.38,86792.37,108845.46,1927.59
0.2,0.2,0.3,4.5,0.35,7,4,2.11,54245.23,108845.46,1927.59
0.2,0.2,0.3,4.5,0.35,7,5.5,1.54,39451.08,108845.46,1927.59
0.2,0.2,0.3,4.5,0.35,11,2.5,2.09,99740.45,171042.86,2205.91
0.2,0.2,0.3,4.5,0.35,11,4,1.31,62337.78,171042.86,2205.91
0.2,0.2,0.3,4.5,0.35,11,5.5,0.95,45336.57,171042.86,2205.91
0.2,0.2,0.3,4.5,0.35,15,2.5,1.28,112650.22,233240.27,2482.77
0.2,0.2,0.3,4.5,0.35,15,4,0.8,70406.39,233240.27,2482.77
0.2,0.2,0.3,4.5,0.35,15,5.5,0.58,51204.64,233240.27,2482.77
0.2,0.2,0.3,4.5,0.5,3,2.5,2.8,93639.57,46648.05,2088.54
0.2,0.2,0.3,4.5,0.5,3,4,1.75,58524.73,46648.05,2088.54
0.2,0.2,0.3,4.5,0.5,3,5.5,1.27,42563.44,46648.05,2088.54
0.2,0.2,0.3,4.5,0.5,7,2.5,1.62,106517.44,108845.46,2367.92
0.2,0.2,0.3,4.5,0.5,7,4,1.01,66573.4,108845.46,2367.92
0.2,0.2,0.3,4.5,0.5,7,5.5,0.73,48417.02,108845.46,2367.92
0.2,0.2,0.3,4.5,0.5,11,2.5,0.84,119601.95,171042.86,2649.04
0.2,0.2,0.3,4.5,0.5,11,4,0.53,74751.22,171042.86,2649.04
0.2,0.2,0.3,4.5,0.5,11,5.5,0.38,54364.52,171042.86,2649.04
0.2,0.2,0.3,4.5,0.5,15,2.5,0.51,132538.69,233240.27,2927.54
0.2,0.2,0.3,4.5,0.5,15,4,0.32,82836.68,233240.27,2927.54
0.2,0.2,0.3,4.5,0.5,15,5.5,0.23,60244.86,233240.27,2927.54
0.2,0.2,0.3,4.5,0.65,3,2.5,1.4,114111.18,46648.05,2538.33
0.2,0.2,0.3,4.5,0.65,3,4,0.87,71319.49,46648.05,2538.33
0.2,0.2,0.3,4.5,0.65,3,5.5,0.64,51868.72,46648.05,2538.33
0.2,0.2,0.3,4.5,0.65,7,2.5,0.65,127144.94,108845.46,2820.7
0.2,0.2,0.3,4.5,0.65,7,4,0.41,79465.59,108845.46,2820.7
0.2,0.2,0.3,4.5,0.65,7,5.5,0.3,57793.15,108845.46,2820.7
0.2,0.2,0.3,4.5,0.65,11,2.5,0.3,140300.23,171042.86,3104.24
0.2,0.2,0.3,4.5,0.65,11,4,0.19,87687.64,171042.86,3104.24
0.2,0.2,0.3,4.5,0.65,11,5.5,0.14,63772.83,171042.86,3104.24
0.2,0.2,0.3,4.5,0.65,15,2.5,0.15,153210.14,233240.27,3384.18
0.2,0.2,0.3,4.5,0.65,15,4,0.09,95756.34,233240.27,3384.18
0.2,0.2,0.3,4.5,0.65,15,5.5,0.07,69640.97,233240.27,3384.18
0.2,0.2,0.3,4.5,0.8,3,2.5,0.64,134598.7,46648.05,2989.99
0.2,0.2,0.3,4.5,0.8,3,4,0.4,84124.19,46648.05,2989.99
0.2,0.2,0.3,4.5,0.8,3,5.5,0.29,61181.23,46648.05,2989.99
0.2,0.2,0.3,4.5,0.8,7,2.5,0.21,147747.81,108845.46,3275.12
0.2,0.2,0.3,4.5,0.8,7,4,0.13,92342.38,108845.46,3275.12
0.2,0.2,0.3,4.5,0.8,7,5.5,0.09,67158.1,108845.46,3275.12
0.2,0.2,0.3,4.5,0.8,11,2.5,0.11,161002.8,171042.86,3562.23
0.2,0.2,0.3,4.5,0.8,11,4,0.07,100626.75,171042.86,3562.23
0.2,0.2,0.3,4.5,0.8,11,5.5,0.05,73183.09,171042.86,3562.23
0.2,0.2,0.3,4.5,0.8,15,2.5,0.04,173897.3,233240.27,3843.57
0.2,0.2,0.3,4.5,0.8,15,4,0.02,108685.81,233240.27,3843.57
0.2,0.2,0.3,4.5,0.8,15,5.5,0.02,79044.23,233240.27,3843.57
0.2,0.2,0.3,5.5,0.05,3,2.5,136.32,34897.61,46648.05,772.01
0.2,0.2,0.3,5.5,0.05,3,4,85.2,21811.01,46648.05,772.01
0.2,0.2,0.3,5.5,0.05,3,5.5,61.96,15862.55,46648.05,772.01
0.2,0.2,0.3,5.5,0.05,7,2.5,85.18,46768.15,108845.46,1042.58
0.2,0.2,0.3,5.5,0.05,7,4,53.24,29230.09,108845.46,1042.58
0.2,0.2,0.3,5.5,0.05,7,5.5,38.72,21258.25,108845.46,1042.58
0.2,0.2,0.3,5.5,0.05,11,2.5,58.36,58910.77,171042.86,1314.1
0.2,0.2,0.3,5.5,0.05,11,4,36.47,36819.23,171042.86,1314.1
0.2,0.2,0.3,5.5,0.05,11,5.5,26.53,26777.62,171042.86,1314.1
0.2,0.2,0.3,5.5,0.05,15,2.5,43.02,71231.2,233240.27,1584.86
0.2,0.2,0.3,5.5,0.05,15,4,26.89,44519.5,233240.27,1584.86
0.2,0.2,0.3,5.5,0.05,15,5.5,19.55,32377.82,233240.27,1584.86
0.2,0.2,0.3,5.5,0.2,3,2.5,26.71,53757.67,46648.05,1216.19
0.2,0.2,0.3,5.5,0.2,3,4,16.69,33598.55,46648.05,1216.19
0.2,0.2,0.3,5.5,0.2,3,5.5,12.14,24435.31,46648.05,1216.19
0.2,0.2,0.3,5.5,0.2,7,2.5,16.51,65971.76,108845.46,1487.62
0.2,0.2,0.3,5.5,0.2,7,4,10.32,41232.35,108845.46,1487.62
0.2,0.2,0.3,5.5,0.2,7,5.5,7.51,29987.17,108845.46,1487.62
0.2,0.2,0.3,5.5,0.2,11,2.5,10.95,78461.24,171042.86,1760.02
0.2,0.2,0.3,5.5,0.2,11,4,6.85,49038.27,171042.86,1760.02
0.2,0.2,0.3,5.5,0.2,11,5.5,4.98,35664.2,171042.86,1760.02
0.2,0.2,0.3,5.5,0.2,15,2.5,7.42,91069.38,233240.27,2032.97
0.2,0.2,0.3,5.5,0.2,15,4,4.64,56918.36,233240.27,2032.97
0.2,0.2,0.3,5.5,0.2,15,5.5,3.37,41395.17,233240.27,2032.97
0.2,0.2,0.3,5.5,0.35,3,2.5,9.87,74105.8,46648.05,1673.11
0.2,0.2,0.3,5.5,0.35,3,4,6.17,46316.13,46648.05,1673.11
0.2,0.2,0.3,5.5,0.35,3,5.5,4.49,33684.46,46648.05,1673.11
0.2,0.2,0.3,5.5,0.35,7,2.5,6.23,86612.66,108845.46,1948.01
0.2,0.2,0.3,5.5,0.35,7,4,3.89,54132.91,108845.46,1948.01
0.2,0.2,0.3,5.5,0.35,7,5.5,2.83,39369.39,108845.46,1948.01
